ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TNFSF15,36.9196808,-2.090725358,0.26777685,-7.807715121,5.82E-15,7.51E-14
CA14,18.84531722,-2.090714547,0.2273827,-9.194694872,3.76E-20,9.40E-19
AGTR2,1.108622583,-2.090554096,0.675017324,-3.097037691,0.00195465,0.004527003
MAPK4,38.93230254,-2.090353362,0.448418954,-4.661607948,3.14E-06,1.20E-05
TBX10,2.714078955,-2.089165928,0.796063217,-2.624371888,0.008680894,0.01747542
GCOM1,550.630172,-2.08905279,0.296941765,-7.035227225,1.99E-12,1.86E-11
FAM154A,0.598080288,-2.088787796,0.457996616,-4.560705744,5.10E-06,1.89E-05
KCNAB1,63.15355948,-2.088182236,0.172311016,-12.11868101,8.41E-34,9.93E-32
CORO6,925.3392181,-2.086250307,0.378381161,-5.513620981,3.52E-08,1.84E-07
ALLC,0.687485079,-2.084529111,0.618774752,-3.368801175,0.000754959,0.001906449
IP6K3,244.7715352,-2.08441554,0.503272057,-4.141727142,3.45E-05,0.000110961
PARM1,750.3126476,-2.084182847,0.259137122,-8.042779951,8.78E-16,1.24E-14
UBXN10,97.76936552,-2.080971376,0.330351298,-6.299268041,2.99E-10,2.12E-09
CES3,94.60112666,-2.080964949,0.314601282,-6.614610511,3.73E-11,2.96E-10
MESP1,26.02279346,-2.080332913,0.360365753,-5.772837437,7.79E-09,4.47E-08
RGS9BP,13.2321614,-2.079863748,0.228558937,-9.099901224,9.04E-20,2.14E-18
CALCA,1.069452103,-2.079392121,0.702671851,-2.959264866,0.003083739,0.006853176
GABRB2,15.65259018,-2.079133199,0.458321206,-4.536410651,5.72E-06,2.10E-05
NOL4,1.706576596,-2.07492278,0.694728218,-2.986668348,0.002820355,0.006318806
SDPR,422.1176651,-2.07368965,0.239766884,-8.648774228,5.21E-18,9.84E-17
IYD,9.55528618,-2.071489081,0.441611381,-4.690751123,2.72E-06,1.06E-05
SYNGR1,738.8413548,-2.070669533,0.245053226,-8.449876655,2.92E-17,5.02E-16
C14orf50,20.10088536,-2.06998633,0.254648463,-8.12879961,4.34E-16,6.40E-15
C6orf124,17.4647471,-2.065663133,0.199876317,-10.33470678,4.91E-25,2.17E-23
RAPSN,117.4346702,-2.065658887,0.447969617,-4.611158453,4.00E-06,1.51E-05
PAR-SN,56.54089523,-2.064293989,0.273093211,-7.558935587,4.06E-14,4.61E-13
CACNA1D,25.39337981,-2.062322075,0.288869532,-7.139285541,9.38E-13,9.12E-12
C15orf62,311.4979113,-2.061887509,0.266780783,-7.728770722,1.09E-14,1.33E-13
CTSG,130.4571133,-2.061358397,0.355817246,-5.793306593,6.90E-09,3.99E-08
REG4,3.890888912,-2.061203482,0.537955814,-3.831547926,0.00012734,0.000370369
EFHA2,29.61419172,-2.05894596,0.264433275,-7.786258974,6.90E-15,8.78E-14
BHMT2,33.87273384,-2.058885196,0.27941256,-7.36862078,1.72E-13,1.84E-12
LOC645752,0.672161142,-2.054777056,0.545745152,-3.76508531,0.000166492,0.000474984
DNAH9,40.33446705,-2.05362,0.292631898,-7.017758545,2.25E-12,2.08E-11
LOC284379,0.594116088,-2.05354908,0.860710453,-2.385876775,0.017038459,0.031955567
